AAL	ɐ ɐ l
RETIRARIA	ʁ e t i ɾ ɐ ɾ i ɐ
RETIRARIAM	ʁ e t i ɾ ɐ ɾ i ɐ̃ w
RETIRARMOS	ʁ e t i ɾ ɐ ɾ m u ʃ
RETIRARÁ	ʁ e t i ɾ ɐ ɾ ɐ
RETIRAS	ʁ e t i ɾ ɐ ʃ
RETIRASSE	ʁ e t i ɾ ɐ s i
RETIRASSEM	ʁ e t i ɾ ɐ s ẽ
RETIRASTE	ʁ e t i ɾ ɐ ʃ t i
RETIRAVA	ʁ e t i ɾ ɐ v ɐ
RETIRAVAM	ʁ e t i ɾ ɐ v ɐ̃ w
RETIRAVAM-SE	ʁ e t i ɾ ɐ v ɐ̃ w s i
RETIRE	ʁ e t i ɾ i
RETIRE-SE	ʁ e t i ɾ i s i
RETIREI	ʁ e t i ɾ e j
RETIREI-ME	ʁ e t i ɾ e j m i
RETIREIRO	ʁ e t i ɾ e j ɾ u
RETIREM	ʁ e t i ɾ ẽ
RETIREMOS	ʁ e t i ɾ e m u ʃ
RETIRES	ʁ e t i ɾ i ʃ
RETIRO	ʁ e t i ɾ u
RETIRO-ME	ʁ e t i ɾ u m i
RETIROS	ʁ e t i ɾ u ʃ
RETIROU	ʁ e t i ɾ o w
RETIROU-SE	ʁ e t i ɾ o w s i
RETIRÁ	ʁ e t i ɾ ɐ
RETITUDE	ʁ e t i t u d i
RETIVE	ʁ e t i v i
RETIVEMOS	ʁ e t i v e m u ʃ
RETIVERAM	ʁ e t i v ɛ ɾ ɐ̃ w
RETO	ʁ ɛ t u
RETORICAMENTE	ʁ e t ɔ ɾ i k ɐ m ẽ t i
RETORNÁVEL	ʁ e t o ɾ n ɐ v ɛ l
RETOS	ʁ ɛ t u s
RETRANSMITE	ʁ e t ɾ ɐ̃ z m i t i
RETRANSMITIDO	ʁ e t ɾ ɐ̃ z m i t i d u
RETRANSMITINDO	ʁ e t ɾ ɐ̃ z m i t ĩ d u
RETRANSMITIR	ʁ e t ɾ ɐ̃ z m i t i ɾ
RETRATE	ʁ e t ɾ ɐ t i
RETRATINHO	ʁ e t ɾ ɐ t i ɲ u
RETRATISTA	ʁ e t ɾ ɐ t i ʃ t ɐ
RETRATÁVEL	ʁ e t ɾ ɐ t ɐ v ɛ l
RETRETE	ʁ e t ɾ ɛ t i
RETROATIVA	ʁ e t ɾ o ɐ t i v ɐ
RETROATIVAMENTE	ʁ e t ɾ o ɐ t i v ɐ m ẽ t i
RETROATIVIDADE	ʁ e t ɾ o ɐ t i v i d ɐ d i
RETROATIVO	ʁ e t ɾ o ɐ t i v u
RETROATIVOS	ʁ e t ɾ o ɐ t i v u ʃ
RETROCEDE	ʁ e t ɾ o s ɛ d i
RETROCEDENTE	ʁ e t ɾ o s e d ẽ t i
RETROCEDIDO	ʁ e t ɾ o s e d i d u
RETROVIRAL	ʁ e t ɾ o v i ɾ ɐ l
RETRÁTIL	ʁ e t ɾ ɐ t i l
RETUMBANTE	ʁ e t ũ b ɐ̃ t i
RETUMBANTES	ʁ e t ũ b ɐ̃ t i ʃ
RETÍCULA	ʁ e t i k u l ɐ
RETÍCULAS	ʁ e t i k u l ɐ ʃ
RETÍCULO	ʁ e t i k u l u
RETÍFICA	ʁ e t i f i k ɐ
REUMATISMO	ʁ e w m ɐ t i z m u
REUMATOIDE	ʁ e w m ɐ t o j d i
REUMÁTICA	ʁ e w m ɐ t i k ɐ
REUMÁTICAS	ʁ e w m ɐ t i k ɐ ʃ
REUMÁTICO	ʁ e w m ɐ t i k u
REUMÁTICOS	ʁ e w m ɐ t i k u ʃ
REUTILIZA	ʁ e w t i l i z ɐ
REUTILIZADA	ʁ e w t i l i z ɐ d ɐ
REUTILIZADAS	ʁ e w t i l i z ɐ d ɐ ʃ
REUTILIZADO	ʁ e w t i l i z ɐ d u
REUTILIZADOS	ʁ e w t i l i z ɐ d u ʃ
REUTILIZAM	ʁ e w t i l i z ɐ̃ w
REUTILIZANDO	ʁ e w t i l i z ɐ̃ d u
REUTILIZAR	ʁ e w t i l i z ɐ ɾ
REUTILIZAÇÃO	ʁ e w t i l i z ɐ s ɐ̃ w
REUTILIZE	ʁ e w t i l i z i
REUTILIZEI	ʁ e w t i l i z e j
REUTILIZEM	ʁ e w t i l i z ẽ
REUTILIZÁVEIS	ʁ e w t i l i z ɐ v e j ʃ
REUTILIZÁVEL	ʁ e w t i l i z ɐ v ɛ l
REVEL	ʁ e v ɛ l
REVENDE	ʁ e v ẽ d i
REVENDI	ʁ e v ẽ d i
REVENDIA	ʁ e v ẽ d i ɐ
REVENDIAM	ʁ e v ẽ d i ɐ̃ w
REVENDIDA	ʁ e v ẽ d i d ɐ
REVENDIDAS	ʁ e v ẽ d i d ɐ ʃ
REVENDIDO	ʁ e v ẽ d i d u
REVENDIDOS	ʁ e v ẽ d i d u ʃ
REVERBERANTES	ʁ e v e ɾ b e ɾ ɐ̃ t i ʃ
REVERENDÍSSIMA	ʁ e v e ɾ ẽ d i s i m ɐ
REVERENDÍSSIMO	ʁ e v e ɾ ẽ d i s i m u
REVERENTE	ʁ e v e ɾ ẽ t i
REVERENTEMENTE	ʁ e v e ɾ ẽ t i m ẽ t i
REVERENTES	ʁ e v e ɾ ẽ t i ʃ
REVERSIBILIDADE	ʁ e v e ɾ s i b i l i d ɐ d i
REVERSÍVEL	ʁ e v e ɾ s i v ɛ l
REVERTE	ʁ e v ɛ ɾ t i
REVERTIA	ʁ e v e ɾ t i ɐ
REVERTIAM	ʁ e v e ɾ t i ɐ̃ w
REVERTIDA	ʁ e v e ɾ t i d ɐ
REVERTIDAS	ʁ e v e ɾ t i d ɐ ʃ
REVERTIDO	ʁ e v e ɾ t i d u
REVERTIDOS	ʁ e v e ɾ t i d u ʃ
REVIDE	ʁ e v i d i
REVIGORA	ʁ e v i ɡ ɔ ɾ ɐ
REVIGORANTE	ʁ e v i ɡ o ɾ ɐ̃ t i
REVIGORANTES	ʁ e v i ɡ o ɾ ɐ̃ t i ʃ
REVINDICA	ʁ e v ĩ d i k ɐ
REVISIONAL	ʁ e v i z i o n ɐ l
REVIVENTE	ʁ e v i v ẽ t i
REVIVESCENTE	ʁ e v i v e s ẽ t i
REVOGÁVEL	ʁ e v o ɡ ɐ v ɛ l
REVOLTADÍSSIMA	ʁ e v o w t ɐ d i s i m ɐ
REVOLTADÍSSIMO	ʁ e v o w t ɐ d i s i m u
REVOLTANTE	ʁ e v o w t ɐ̃ t i
REVOLTANTES	ʁ e v o w t ɐ̃ t i ʃ
REVOLTE	ʁ e v ɔ w t i
REVOLTES	ʁ e v ɔ w t i ʃ
REVOLTOS	ʁ e v o w t u s
REVOLUCIONARIAMENTE	ʁ e v o l u s i o n ɐ ɾ i ɐ m ẽ t i
REYNOLDS	ʁ e j n ɔ w d i ʃ
REZA	ʁ ɛ z ɐ
REZAS	ʁ ɛ z ɐ s
REZINHA	ʁ ɛ z i ɲ ɐ
RI-TE	ʁ i t i
RIAL	ʁ i ɐ l
RICAMENTE	ʁ i k ɐ m ẽ t i
RICARDINA	ʁ i k ɐ ɾ d i n ɐ
RICARDINHO	ʁ i k ɐ ɾ d i ɲ u
RICHARD	ʁ i ʃ ɐ ɾ d i
RICHARDSON	ʁ i ʃ ɐ ɾ d i s õ
RICOCHETE	ʁ i k o ʃ ɛ t i
RIDE	ʁ i d i
RIDENTE	ʁ i d ẽ t i
RIDICULAMENTE	ʁ i d i k u l ɐ m ẽ t i
RIDICULARIZA	ʁ i d i k u l ɐ ɾ i z ɐ
RIDICULARIZADA	ʁ i d i k u l ɐ ɾ i z ɐ d ɐ
RIDICULARIZADAS	ʁ i d i k u l ɐ ɾ i z ɐ d ɐ ʃ
RIDICULARIZADO	ʁ i d i k u l ɐ ɾ i z ɐ d u
RIDICULARIZADOS	ʁ i d i k u l ɐ ɾ i z ɐ d u ʃ
RIDICULARIZANDO	ʁ i d i k u l ɐ ɾ i z ɐ̃ d u
RIDICULARIZANTE	ʁ i d i k u l ɐ ɾ i z ɐ̃ t i
RIDICULARIZAR	ʁ i d i k u l ɐ ɾ i z ɐ ɾ
RIDICULARIZAREM	ʁ i d i k u l ɐ ɾ i z ɐ ɾ ẽ
RIDICULARIZAVAM	ʁ i d i k u l ɐ ɾ i z ɐ v ɐ̃ w
RIDICULARIZAÇÃO	ʁ i d i k u l ɐ ɾ i z ɐ s ɐ̃ w
RIDICULARIZAÇÕES	ʁ i d i k u l ɐ ɾ i z ɐ s õ j ʃ
RIDICULARIZE	ʁ i d i k u l ɐ ɾ i z i
RIDICULARIZEI	ʁ i d i k u l ɐ ɾ i z e j
RIDICULEZ	ʁ i d i k u l e ʃ
RIDICULOSO	ʁ i d i k u l o z u
RIDÍCULA	ʁ i d i k u l ɐ
RIDÍCULAS	ʁ i d i k u l ɐ ʃ
RIDÍCULO	ʁ i d i k u l u
RIDÍCULOS	ʁ i d i k u l u ʃ
RIEL	ʁ i ɛ l
RIFTE	ʁ i f t i
RIGIDAMENTE	ʁ i ʒ i d ɐ m ẽ t i
RIGOL	ʁ i ɡ ɔ l
RIGOROSAMENTE	ʁ i ɡ o ɾ ɔ z ɐ m ẽ t i
RIGOROSIDADE	ʁ i ɡ o ɾ o z i d ɐ d i
RIJAMENTE	ʁ i ʒ ɐ m ẽ t i
RIMÁTICO	ʁ i m ɐ t i k u
RINITE	ʁ i n i t i
RINOCERONTE	ʁ i n o s e ɾ õ t i
RINOCERONTES	ʁ i n o s e ɾ õ t i ʃ
RIOLÂNDIA	ʁ i o l ɐ̃ d i ɐ
RISADINHA	ʁ i z ɐ d i ɲ ɐ
RISÍVEL	ʁ i z i v ɛ l
RIT	ʁ i t i
RITMADA	ʁ i t i m ɐ d ɐ
RITMADAS	ʁ i t i m ɐ d ɐ ʃ
RITMADOS	ʁ i t i m ɐ d u ʃ
RITMAR	ʁ i t i m ɐ ɾ
RITMICAMENTE	ʁ i t i m i k ɐ m ẽ t i
RITMISTAS	ʁ i t i m i ʃ t ɐ ʃ
RITMO	ʁ i t i m u
RITMOS	ʁ i t i m u ʃ
RITUAL	ʁ i t w ɐ l
RIVAL	ʁ i v ɐ l
RIVALIDADE	ʁ i v ɐ l i d ɐ d i
RIVALIDADES	ʁ i v ɐ l i d ɐ d i ʃ
RIVERSUL	ʁ i v e ɾ s u l
RIZOMÁTICO	ʁ i z o m ɐ t i k u
ROBERT	ʁ o b ɛ ɾ t i
ROBERVAL	ʁ o b e ɾ v ɐ l
ROBOT	ʁ o b ɔ t i
ROBOTIZADA	ʁ o b o t i z ɐ d ɐ
ROBOTIZADAS	ʁ o b o t i z ɐ d ɐ ʃ
ROBOTIZADO	ʁ o b o t i z ɐ d u
ROBOTIZADOS	ʁ o b o t i z ɐ d u ʃ
ROBOTIZAR	ʁ o b o t i z ɐ ɾ
ROBOTIZAÇÃO	ʁ o b o t i z ɐ s ɐ̃ w
ROBOTIZOU	ʁ o b o t i z o w
ROBOTS	ʁ o b ɔ t i ʃ
ROBOZINHOS	ʁ o b u z i ɲ u s
ROBÓTICA	ʁ o b ɔ t i k ɐ
ROBÓTICAS	ʁ o b ɔ t i k ɐ ʃ
ROBÓTICO	ʁ o b ɔ t i k u
ROBÓTICOS	ʁ o b ɔ t i k u ʃ
ROCAL	ʁ o k ɐ l
ROCHETE	ʁ o ʃ ɛ t i
ROCK	ʁ o k i
ROCQUE	ʁ ɔ k i
RODADINHA	ʁ o d ɐ d i ɲ ɐ
RODADINHAS	ʁ o d ɐ d i ɲ ɐ ʃ
RODAL	ʁ o d ɐ l
RODANTE	ʁ o d ɐ̃ t i
RODE	ʁ ɔ d i
RODES	ʁ ɔ d i ʃ
RODILHA	ʁ o d i ʎ ɐ
RODINHA	ʁ o d i ɲ ɐ
RODINHAS	ʁ o d i ɲ ɐ ʃ
RODOANEL	ʁ o d o ɐ n ɛ l
RODÍZIO	ʁ o d i z i u
RODÍZIOS	ʁ o d i z i u ʃ
ROGANTE	ʁ o ɡ ɐ̃ t i
ROGATIVA	ʁ o ɡ ɐ t i v ɐ
ROL	ʁ ɔ l
ROLANTE	ʁ o l ɐ̃ t i
ROLANTES	ʁ o l ɐ̃ t i ʃ
ROLETE	ʁ o l ɛ t i
ROLETES	ʁ o l ɛ t i ʃ
ROLL	ʁ o l
ROLOS	ʁ o l u s
ROLOTE	ʁ o l ɔ t i
ROLÂNDIA	ʁ o l ɐ̃ d i ɐ
ROMANCETE	ʁ o m ɐ̃ s ɛ t i
ROMANTICAMENTE	ʁ o m ɐ̃ t i k ɐ m ẽ t i
ROMANTISMO	ʁ o m ɐ̃ t i z m u
ROMANTISMOS	ʁ o m ɐ̃ t i z m u ʃ
ROMANTIZA	ʁ o m ɐ̃ t i z ɐ
ROMANTIZADO	ʁ o m ɐ̃ t i z ɐ d u
ROMANTIZAM	ʁ o m ɐ̃ t i z ɐ̃ w
ROMANTIZANDO	ʁ o m ɐ̃ t i z ɐ̃ d u
ROMANTIZAR	ʁ o m ɐ̃ t i z ɐ ɾ
ROMANTIZAVAM	ʁ o m ɐ̃ t i z ɐ v ɐ̃ w
ROMANTIZAÇÃO	ʁ o m ɐ̃ t i z ɐ s ɐ̃ w
ROMANTIZEI	ʁ o m ɐ̃ t i z e j
ROMANTIZEM	ʁ o m ɐ̃ t i z ẽ
ROMANTIZOU	ʁ o m ɐ̃ t i z o w
ROMELÂNDIA	ʁ o m e l ɐ̃ d i ɐ
ROMPANTE	ʁ õ p ɐ̃ t i
ROMPENTES	ʁ õ p ẽ t i ʃ
ROMÂNTICA	ʁ o m ɐ̃ t i k ɐ
ROMÂNTICAS	ʁ o m ɐ̃ t i k ɐ ʃ
ROMÂNTICO	ʁ o m ɐ̃ t i k u
ROMÂNTICOS	ʁ o m ɐ̃ t i k u ʃ
RONCANTE	ʁ õ k ɐ̃ t i
RONDANTE	ʁ õ d ɐ̃ t i
RONDE	ʁ õ d i
RONDOLÂNDIA	ʁ õ d o l ɐ̃ d i ɐ
ROOSEVELT	ʁ o o z e v ɛ w t i
ROQUETE	ʁ o k ɛ t i
ROSAL	ʁ o z ɐ l
ROSALÂNDIA	ʁ o z ɐ l ɐ̃ d i ɐ
ROSEIRAL	ʁ o z e j ɾ ɐ l
ROSINEIDE	ʁ o z i n e j d i
ROSO	ʁ ɔ z u
ROSTOS	ʁ o s t u s
ROTACIONAL	ʁ o t ɐ s i o n ɐ l
ROTATIVA	ʁ o t ɐ t i v ɐ
ROTATIVAS	ʁ o t ɐ t i v ɐ ʃ
ROTATIVIDADE	ʁ o t ɐ t i v i d ɐ d i
ROTATIVISMO	ʁ o t ɐ t i v i z m u
ROTATIVO	ʁ o t ɐ t i v u
ROTATIVOS	ʁ o t ɐ t i v u ʃ
ROTES	ʁ ɔ t i ʃ
ROTINA	ʁ o t i n ɐ
ROTINADO	ʁ o t i n ɐ d u
ROTINAS	ʁ o t i n ɐ ʃ
ROTINEIRA	ʁ o t i n e j ɾ ɐ
ROTINEIRAMENTE	ʁ o t i n e j ɾ ɐ m ẽ t i
ROTINEIRAS	ʁ o t i n e j ɾ ɐ ʃ
ROTINEIRO	ʁ o t i n e j ɾ u
ROTINEIROS	ʁ o t i n e j ɾ u ʃ
ROTINIZAR	ʁ o t i n i z ɐ ɾ
ROTISSERIA	ʁ o t i s e ɾ i ɐ
ROUCAMENTE	ʁ o w k ɐ m ẽ t i
ROUND	ʁ o ũ d i
ROUNDS	ʁ o ũ d i ʃ
ROUXINOL	ʁ o w ʃ i n ɔ l
ROXOS	ʁ o ʃ u s
ROYAL	ʁ o j ɐ l
ROYALTIES	ʁ o j ɐ w t i i ʃ
ROYALTY	ʁ o j ɐ w t i
ROÇAGANTE	ʁ o s ɐ ɡ ɐ̃ t i
RUAL	ʁ w ɐ l
RUAZINHAS	ʁ w ɐ z i ɲ ɐ s
RUBENTE	ʁ u b ẽ t i
RUDE	ʁ u d i
RUDEMENTE	ʁ u d i m ẽ t i
RUDES	ʁ u d i ʃ
RUDIMENTAR	ʁ u d i m ẽ t ɐ ɾ
RUDIMENTARES	ʁ u d i m ẽ t ɐ ɾ i ʃ
RUDIMENTOS	ʁ u d i m ẽ t u ʃ
RUGOSIDADE	ʁ u ɡ o z i d ɐ d i
RUGOSIDADES	ʁ u ɡ o z i d ɐ d i ʃ
RUIDOSAMENTE	ʁ w i d ɔ z ɐ m ẽ t i
RUIM	ʁ w ĩ
RUINARIA	ʁ u i n ɐ ɾ i ɐ
RUINDADE	ʁ w ĩ d ɐ d i
RUINIFORME	ʁ u i n i f ɔ ɾ m i
RUMINANTE	ʁ u m i n ɐ̃ t i
RUMINANTES	ʁ u m i n ɐ̃ t i ʃ
RUMINATIVO	ʁ u m i n ɐ t i v u
RURAL	ʁ u ɾ ɐ l
RURALIDADE	ʁ u ɾ ɐ l i d ɐ d i
RUSSEL	ʁ u s ɛ l
RUSSELL	ʁ u s ɛ l
RUTE	ʁ u t i
RUTH	ʁ u t i
RUTHERFORD	ʁ u t e ɾ f o ɾ d i
RUTILANDO	ʁ u t i l ɐ̃ d u
RUTILANTE	ʁ u t i l ɐ̃ t i
RUTILANTES	ʁ u t i l ɐ̃ t i ʃ
RUTILAVA	ʁ u t i l ɐ v ɐ
RUTILAÇÃO	ʁ u t i l ɐ s ɐ̃ w
RUTILAÇÕES	ʁ u t i l ɐ s õ j ʃ
RUTILO	ʁ u t i l u
RUTILOU	ʁ u t i l o w
RUTILÂNCIA	ʁ u t i l ɐ̃ s i ɐ
RÁDICA	ʁ ɐ d i k ɐ
RÁDIO	ʁ ɐ d i u
RÁDIOS	ʁ ɐ d i u ʃ
RÉPTIL	ʁ ɛ p i t i l
RÍMEL	ʁ i m e l
RÍTMICA	ʁ i t i m i k ɐ
RÍTMICAS	ʁ i t i m i k ɐ ʃ
RÍTMICO	ʁ i t i m i k u
RÍTMICOS	ʁ i t i m i k u ʃ
RÓDIO	ʁ ɔ d i u
RÚTILA	ʁ u t i l ɐ
RÚTILAS	ʁ u t i l ɐ ʃ
RÚTILO	ʁ u t i l u
RÚTILOS	ʁ u t i l u ʃ
S	ɛ s i
SABATINA	s ɐ b ɐ t i n ɐ
SABATINADO	s ɐ b ɐ t i n ɐ d u
SABATINAM	s ɐ b ɐ t i n ɐ̃ w
SABATINAS	s ɐ b ɐ t i n ɐ ʃ
SABATISMO	s ɐ b ɐ t i z m u
SABERDES	s ɐ b e ɾ d i ʃ
SABIAMENTE	s ɐ b i ɐ m ẽ t i
SABONETE	s ɐ b o n ɛ t i
SABONETES	s ɐ b o n ɛ t i ʃ
SABOTE	s ɐ b ɔ t i
SABUGAL	s ɐ b u ɡ ɐ l
SABÁTICA	s ɐ b ɐ t i k ɐ
SABÁTICO	s ɐ b ɐ t i k u
SABÁTICOS	s ɐ b ɐ t i k u ʃ
SABÁUDIA	s ɐ b ɐ w d i ɐ
SACADINHA	s ɐ k ɐ d i ɲ ɐ
SACAL	s ɐ k ɐ l
SACERDOTAL	s ɐ s e ɾ d o t ɐ l
SACERDOTE	s ɐ s e ɾ d ɔ t i
SACERDOTES	s ɐ s e ɾ d ɔ t i ʃ
SACERDOTISA	s ɐ s e ɾ d o t i z ɐ
SACERDOTISAS	s ɐ s e ɾ d o t i z ɐ ʃ
SACERDOTISMO	s ɐ s e ɾ d o t i z m u
SACIEDADE	s ɐ s i e d ɐ d i
SACIÁVEL	s ɐ s i ɐ v ɛ l
SACODE	s ɐ k ɔ d i
SACODES	s ɐ k ɔ d i ʃ
SACRAL	s ɐ k ɾ ɐ l
SACRAMENTAL	s ɐ k ɾ ɐ m ẽ t ɐ l
SACRAMENTE	s ɐ k ɾ ɐ m ẽ t i
SACRATÍSSIMA	s ɐ k ɾ ɐ t i s i m ɐ
SACRATÍSSIMAS	s ɐ k ɾ ɐ t i s i m ɐ ʃ
SACRATÍSSIMO	s ɐ k ɾ ɐ t i s i m u
SACRIFICANTE	s ɐ k ɾ i f i k ɐ̃ t i
SACRIFICIAL	s ɐ k ɾ i f i s i ɐ l
SACRILEGAMENTE	s ɐ k ɾ i l e ɡ ɐ m ẽ t i
SACUDI	s ɐ k u d i
SACUDIA	s ɐ k u d i ɐ
SACUDIAM	s ɐ k u d i ɐ̃ w
SACUDIDA	s ɐ k u d i d ɐ
SACUDIDAS	s ɐ k u d i d ɐ ʃ
SACUDIDELA	s ɐ k u d i d ɛ l ɐ
SACUDIDELAS	s ɐ k u d i d ɛ l ɐ ʃ
SACUDIDO	s ɐ k u d i d u
SACUDIDOS	s ɐ k u d i d u ʃ
SACUDIMENTO	s ɐ k u d i m ẽ t u
SACUDIMOS	s ɐ k u d i m u ʃ
SACUDINDO	s ɐ k u d ĩ d u
SACUDIR	s ɐ k u d i ɾ
SACUDIRA	s ɐ k u d i ɾ ɐ
SACUDIRAM	s ɐ k u d i ɾ ɐ̃ w
SACUDIREM	s ɐ k u d i ɾ ẽ
SACUDISSE	s ɐ k u d i s i
SACUDISSEM	s ɐ k u d i s ẽ
SACUDIU	s ɐ k u d i w
SADC	ɛ s i ɐ d e s e
SADE	s ɐ d i
SADI	s ɐ d i
SADIA	s ɐ d i ɐ
SADIAS	s ɐ d i ɐ ʃ
SADINO	s ɐ d i n u
SADIO	s ɐ d i u
SADIOS	s ɐ d i u ʃ
SADISMO	s ɐ d i z m u
SAFADINHO	s ɐ f ɐ d i ɲ u
SAGACIDADE	s ɐ ɡ ɐ s i d ɐ d i
SAGITAL	s ɐ ʒ i t ɐ l
SAINETE	s ɐ j n ɛ t i
SAINT	s ɐ ĩ t i
SAIOTE	s ɐ j ɔ t i
SAIOTES	s ɐ j ɔ t i ʃ
SAIRDES	s ɐ j ɾ d i ʃ
SAL	s ɐ l
SALADINHA	s ɐ l ɐ d i ɲ ɐ
SALADINHAS	s ɐ l ɐ d i ɲ ɐ ʃ
SALADINO	s ɐ l ɐ d i n u
SALARIAL	s ɐ l ɐ ɾ i ɐ l
SALATIEL	s ɐ l ɐ t i ɛ l
SALDE	s ɐ w d i
SALETE	s ɐ l ɛ t i
SALGADINHO	s ɐ w ɡ ɐ d i ɲ u
SALGADINHOS	s ɐ w ɡ ɐ d i ɲ u ʃ
SALICITE	s ɐ l i s i t i
SALIENTE	s ɐ l i ẽ t i
SALIENTES	s ɐ l i ẽ t i ʃ
SALINIDADE	s ɐ l i n i d ɐ d i
SALLY	s ɐ l i
SALMODIANDO	s ɐ w m o d i ɐ̃ d u
SALMODIAR	s ɐ w m o d i ɐ ɾ
SALMODIAREI	s ɐ w m o d i ɐ ɾ e j
SALMODIOU	s ɐ w m o d i o w
SALOBROS	s ɐ l o b ɾ u s
SALTANTES	s ɐ w t ɐ̃ t i ʃ
SALTE	s ɐ w t i
SALTEADAMENTE	s ɐ w t e ɐ d ɐ m ẽ t i
SALTIMBANCO	s ɐ w t ĩ b ɐ̃ k u
SALTIMBANCOS	s ɐ w t ĩ b ɐ̃ k u ʃ
SALTINHO	s ɐ w t i ɲ u
SALTINHOS	s ɐ w t i ɲ u ʃ
SALTITA	s ɐ w t i t ɐ
SALTITANDO	s ɐ w t i t ɐ̃ d u
SALTITANTE	s ɐ w t i t ɐ̃ t i
SALTITANTES	s ɐ w t i t ɐ̃ t i ʃ
SALTITAR	s ɐ w t i t ɐ ɾ
SALTITAVAM	s ɐ w t i t ɐ v ɐ̃ w
SALTITO	s ɐ w t i t u
SALTITOU	s ɐ w t i t o w
SALTITÃO	s ɐ w t i t ɐ̃ w
SALUBRIDADE	s ɐ l u b ɾ i d ɐ d i
SALVANTE	s ɐ w v ɐ̃ t i
SALVÁVEL	s ɐ w v ɐ v ɛ l
SAMUEL	s ɐ m w ɛ l
SANCLERLÂNDIA	s ɐ̃ k l e ɾ l ɐ̃ d i ɐ
SANDES	s ɐ̃ d i ʃ
SANDICE	s ɐ̃ d i s i
SANDICES	s ɐ̃ d i s i ʃ
SANDIM	s ɐ̃ d ĩ
SANDINISTA	s ɐ̃ d i n i ʃ t ɐ
SANDINO	s ɐ̃ d i n u
SANDOVAL	s ɐ̃ d o v ɐ l
SANGUINHAL	s ɐ̃ ɡ i ɲ ɐ l
SANIDADE	s ɐ n i d ɐ d i
SANITIZAÇÃO	s ɐ n i t i z ɐ s ɐ̃ w
SANTANDER	s ɐ̃ t ɐ̃ d ɛ ɾ
SANTIAGO	s ɐ̃ t i ɐ ɡ u
SANTIDADE	s ɐ̃ t i d ɐ d i
SANTIDADES	s ɐ̃ t i d ɐ d i ʃ
SANTIFICA	s ɐ̃ t i f i k ɐ
SANTIFICADA	s ɐ̃ t i f i k ɐ d ɐ
SANTIFICADAS	s ɐ̃ t i f i k ɐ d ɐ ʃ
SANTIFICADO	s ɐ̃ t i f i k ɐ d u
SANTIFICADOR	s ɐ̃ t i f i k ɐ d o ɾ
SANTIFICADORA	s ɐ̃ t i f i k ɐ d o ɾ ɐ
SANTIFICADOS	s ɐ̃ t i f i k ɐ d u ʃ
SANTIFICAI	s ɐ̃ t i f i k ɐ j
SANTIFICAM	s ɐ̃ t i f i k ɐ̃ w
SANTIFICAMOS	s ɐ̃ t i f i k ɐ m u ʃ
SANTIFICANDO	s ɐ̃ t i f i k ɐ̃ d u
SANTIFICANTE	s ɐ̃ t i f i k ɐ̃ t i
SANTIFICAR	s ɐ̃ t i f i k ɐ ɾ
SANTIFICARA	s ɐ̃ t i f i k ɐ ɾ ɐ
SANTIFICARAM	s ɐ̃ t i f i k ɐ ɾ ɐ̃ w
SANTIFICAREM	s ɐ̃ t i f i k ɐ ɾ ẽ
SANTIFICASSE	s ɐ̃ t i f i k ɐ s i
SANTIFICAVA	s ɐ̃ t i f i k ɐ v ɐ
SANTIFICAÇÃO	s ɐ̃ t i f i k ɐ s ɐ̃ w
SANTIFICOU	s ɐ̃ t i f i k o w
SANTIFICÁ	s ɐ̃ t i f i k ɐ
SANTIFIQUE	s ɐ̃ t i f i k i
SANTIFIQUEMOS	s ɐ̃ t i f i k e m u ʃ
SANTIL	s ɐ̃ t i l
SANTINHA	s ɐ̃ t i ɲ ɐ
SANTINHAS	s ɐ̃ t i ɲ ɐ ʃ
SANTINHO	s ɐ̃ t i ɲ u
SANTINHOS	s ɐ̃ t i ɲ u ʃ
SANTINO	s ɐ̃ t i n u
SANTISTA	s ɐ̃ t i ʃ t ɐ
SANTÍSSIMA	s ɐ̃ t i s i m ɐ
SANTÍSSIMAS	s ɐ̃ t i s i m ɐ ʃ
SANTÍSSIMO	s ɐ̃ t i s i m u
SAPAL	s ɐ p ɐ l
SAPATILHA	s ɐ p ɐ t i ʎ ɐ
SAPATINHA	s ɐ p ɐ t i ɲ ɐ
SAPATINHO	s ɐ p ɐ t i ɲ u
SAPATINHOS	s ɐ p ɐ t i ɲ u ʃ
SAPEZAL	s ɐ p e z ɐ l
SAPIENTE	s ɐ p i ẽ t i
SAPIENTES	s ɐ p i ẽ t i ʃ
SAPIENTÍSSIMO	s ɐ p i ẽ t i s i m u
SAPOTI	s ɐ p o t i
SARANDI	s ɐ ɾ ɐ̃ d i
SARAPATEL	s ɐ ɾ ɐ p ɐ t ɛ l
SARCODE	s ɐ ɾ k ɔ d i
SARDINHA	s ɐ ɾ d i ɲ ɐ
SARDINHAS	s ɐ ɾ d i ɲ ɐ ʃ
SARDINHEIRO	s ɐ ɾ d i ɲ e j ɾ u
SARDOAL	s ɐ ɾ d o ɐ l
SARGENTE	s ɐ ɾ ʒ ẽ t i
SARÇAL	s ɐ ɾ s ɐ l
SATIRIZA	s ɐ t i ɾ i z ɐ
SATIRIZAM	s ɐ t i ɾ i z ɐ̃ w
SATIRIZANDO	s ɐ t i ɾ i z ɐ̃ d u
SATIRIZAR	s ɐ t i ɾ i z ɐ ɾ
SATIS	s ɐ t i ʃ
SATISFAREI	s ɐ t i ʃ f ɐ ɾ e j
