ㄱ	k i jʌ k
지운다	ʨ i u n d a
지울	ʨ i u l
지울게요	ʨ i u l g e jo
지웁니다	ʨ i u m n i d a
지웅	ʨ i u ŋ
지워	ʨ i wʌ
지워도	ʨ i wʌ d o
지워버리고	ʨ i wʌ b ʌ r i g o
지워버리면	ʨ i wʌ b ʌ r i m jʌ n
지워서	ʨ i wʌ s ʌ
지워야	ʨ i wʌ ja
지워져	ʨ i wʌ ʣ jʌ
지워주고	ʨ i wʌ ʣ u g o
지워주시면	ʨ i wʌ ʣ u s i m jʌ n
지워줍니다	ʨ i wʌ ʣ u m n i d a
지워지고	ʨ i wʌ ʣ i g o
지워지는	ʨ i wʌ ʣ i n ɯ n
지워지지	ʨ i wʌ ʣ i ʣ i
지워진	ʨ i wʌ ʣ i n
지워집니다	ʨ i wʌ ʣ i m n i d a
지워크	ʨ i wʌ kʰ ɯ
지원	ʨ i wʌ n
지원과	ʨ i wʌ n g wa
지원금	ʨ i wʌ n g ɯ m
지원금을	ʨ i wʌ n g ɯ m ɯ l
지원금이	ʨ i wʌ n g ɯ m i
지원도	ʨ i wʌ n d o
지원되는	ʨ i wʌ n d ø n ɯ n
지원사업	ʨ i wʌ n s a ʌ p
지원에	ʨ i wʌ n e
지원으로	ʨ i wʌ n ɯ r o
지원은	ʨ i wʌ n ɯ n
지원을	ʨ i wʌ n ɯ l
지원이	ʨ i wʌ n i
지원자	ʨ i wʌ n ʣ a
지원자가	ʨ i wʌ n ʣ a g a
지원하게	ʨ i wʌ n x a g e
지원하겠습니다	ʨ i wʌ n x a g e t ss ɯ m n i d a
지원하고	ʨ i wʌ n x a g o
지원하기	ʨ i wʌ n x a g i
지원하는	ʨ i wʌ n x a n ɯ n
지원하면서	ʨ i wʌ n x a m jʌ n s ʌ
지원하지	ʨ i wʌ n x a ʣ i
지원한	ʨ i wʌ n x a n
지원한다	ʨ i wʌ n x a n d a
지원할	ʨ i wʌ n x a l
지원합니다	ʨ i wʌ n x a m n i d a
지원해	ʨ i wʌ n x ɛ
지원해서	ʨ i wʌ n x e s ʌ
지원해주는	ʨ i wʌ n x e ʣ u n ɯ n
지웠습니다	ʨ i wʌ t ss ɯ m n i d a
지위	ʨ i wi
지위가	ʨ i wi g a
지위를	ʨ i wi r ɯ l
지위에	ʨ i wi e
지위와	ʨ i wi wa
지으려고	ʨ i ɯ r jʌ g o
지으려는	ʨ i ɯ r jʌ n ɯ n
지으며	ʨ i ɯ m jʌ
지으면	ʨ i ɯ m jʌ n
지으면서	ʨ i ɯ m jʌ n s ʌ
지으셔서	ʨ i ɯ s jʌ s ʌ
지으시고	ʨ i ɯ s i g o
지으시는	ʨ i ɯ s i n ɯ n
지으신	ʨ i ɯ s i n
지으실	ʨ i ɯ s i l
지은	ʨ i ɯ n
지은이	ʨ i ɯ n i
지을	ʨ i ɯ l
지음	ʨ i ɯ m
지음받은	ʨ i ɯ m b a d ɯ n
지음을	ʨ i ɯ m ɯ l
지인	ʨ i i n
지인과	ʨ i i n g wa
지인들	ʨ i i n d ɯ l
지인들과	ʨ i i n d ɯ l g wa
지인들도	ʨ i i n d ɯ l d o
지인들에게	ʨ i i n d ɯ r e g e
지인들을	ʨ i i n d ɯ r ɯ l
지인들의	ʨ i i n d ɯ r i
지인들이	ʨ i i n d ɯ r i
지인들한테	ʨ i i n d ɯ l x a n tʰ e
지인에게	ʨ i i n e g e
지인은	ʨ i i n ɯ n
지인을	ʨ i i n ɯ l
지인의	ʨ i i n i
지인이	ʨ i i n i
지일주	ʨ i i l ʣ u
지자	ʨ i ʣ a
지자기	ʨ i ʣ a g i
지자체	ʨ i ʣ a ʨʰ e
지자체가	ʨ i ʣ a ʨʰ e g a
지자체는	ʨ i ʣ a ʨʰ e n ɯ n
지자체에	ʨ i ʣ a ʨʰ e e
지자체에서	ʨ i ʣ a ʨʰ e e s ʌ
지자체의	ʨ i ʣ a ʨʰ e e
지잖아요	ʨ i ʣ a n a jo
지장	ʨ i ʣ a ŋ
지장간	ʨ i ʣ a ŋ g a n
지장보살	ʨ i ʣ a ŋ b o s a l
지장은	ʨ i ʣ a ŋ ɯ n
지장을	ʨ i ʣ a ŋ ɯ l
지장이	ʨ i ʣ a ŋ i
지저분	ʨ i ʣ ʌ b u n
지저분하게	ʨ i ʣ ʌ b u n x a g e
지저분하고	ʨ i ʣ ʌ b u n x a g o
지저분한	ʨ i ʣ ʌ b u n x a n
지저분해	ʨ i ʣ ʌ b u n x ɛ
지적	ʨ i ʣ ʌ k
지적도	ʨ i ʣ ʌ k dd o
지적도면	ʨ i ʣ ʌ k dd o m jʌ n
지적도상	ʨ i ʣ ʌ k dd o s a ŋ
지적법	ʨ i ʣ ʌ k bb ʌ p
지적에	ʨ i ʣ ʌ g e
지적으로	ʨ i ʣ ʌ g ɯ r o
지적은	ʨ i ʣ ʌ g ɯ n
지적을	ʨ i ʣ ʌ g ɯ l
지적이	ʨ i ʣ ʌ g i
지적인	ʨ i ʣ ʌ g i n
지적입니다	ʨ i ʣ ʌ g i m n i d a
지적장애	ʨ i ʨʨ ʌ k ʣ a ŋ ɛ
지적재산권	ʨ i ʨʨ ʌ k ʣ ɛ s a n gg wʌ n
지적하고	ʨ i ʣ ʌ kʰ a g o
지적하는	ʨ i ʣ ʌ kʰ a n ɯ n
지적하여	ʨ i ʣ ʌ kʰ a jʌ
지적한	ʨ i ʣ ʌ kʰ a n
지적할	ʨ i ʣ ʌ kʰ a l
지적합니다	ʨ i ʣ ʌ kʰ a m n i d a
지적해	ʨ i ʣ ʌ kʰ ɛ
지적했다	ʨ i ʣ ʌ kʰ e t dd a
지적했습니다	ʨ i ʣ ʌ kʰ ɛ t ss ɯ m n i d a
지점	ʨ i ʣ ʌ m
지점까지	ʨ i ʣ ʌ m gg a ʣ i
지점들이	ʨ i ʣ ʌ m d ɯ r i
지점에	ʨ i ʣ ʌ m e
지점에서	ʨ i ʣ ʌ m e s ʌ
지점으로	ʨ i ʣ ʌ m ɯ r o
지점은	ʨ i ʣ ʌ m ɯ n
지점을	ʨ i ʣ ʌ m ɯ l
지점이	ʨ i ʣ ʌ m i
지정	ʨ i ʣ ʌ ŋ
지정되어	ʨ i ʣ ʌ ŋ d ø ʌ
지정된	ʨ i ʣ ʌ ŋ d ø n
지정에서	ʨ i ʣ ʌ ŋ e s ʌ
지정은	ʨ i ʣ ʌ ŋ ɯ n
지정을	ʨ i ʣ ʌ ŋ ɯ l
지정이	ʨ i ʣ ʌ ŋ i
지정하게	ʨ i ʣ ʌ ŋ x a g e
지정하고	ʨ i ʣ ʌ ŋ x a g o
지정하는	ʨ i ʣ ʌ ŋ x a n ɯ n
지정하면	ʨ i ʣ ʌ ŋ x a m jʌ n
지정하지	ʨ i ʣ ʌ ŋ x a ʣ i
지정학자들은	ʨ i ʣ ʌ ŋ x a k ʨ a d ɯ r ɯ n
지정한	ʨ i ʣ ʌ ŋ x a n
지정한다	ʨ i ʣ ʌ ŋ x a n d a
지정할	ʨ i ʣ ʌ ŋ x a l
지정합니다	ʨ i ʣ ʌ ŋ x a m n i d a
지정해	ʨ i ʣ ʌ ŋ x ɛ
지정해서	ʨ i ʣ ʌ ŋ x e s ʌ
지정해야	ʨ i ʣ ʌ ŋ x e ja
지제	ʨ i ʣ e
지조	ʨ i ʣ o
지존	ʨ i ʣ o n
지존파	ʨ i ʣ o n pʰ a
지죠	ʨ i ʣ jo
지주	ʨ i ʣ u
지중해	ʨ i ʣ u ŋ x ɛ
지지	ʨ i ʣ i
지지가	ʨ i ʣ i g a
지지고	ʨ i ʣ i g o
지지는	ʨ i ʣ i n ɯ n
지지대	ʨ i ʣ i d ɛ
지지도	ʨ i ʣ i d o
지지로	ʨ i ʣ i r o
지지를	ʨ i ʣ i r ɯ l
지지만	ʨ i ʣ i m a n
지지선	ʨ i ʣ i s ʌ n
지지선이	ʨ i ʣ i s ʌ n i
지지에	ʨ i ʣ i e
지지에서	ʨ i ʣ i e s ʌ
지지와	ʨ i ʣ i wa
지지율	ʨ i ʣ i ju l
지지율을	ʨ i ʣ i ju r ɯ l
지지율이	ʨ i ʣ i ju r i
지지의	ʨ i ʣ i i
지지자	ʨ i ʣ i ʣ a
지지자들은	ʨ i ʣ i ʣ a d ɯ r ɯ n
지지자들이	ʨ i ʣ i ʣ a d ɯ r i
지지하고	ʨ i ʣ i x a g o
지지하는	ʨ i ʣ i x a n ɯ n
지지하지	ʨ i ʣ i x a ʣ i
지지한	ʨ i ʣ i x a n
지지할	ʨ i ʣ i x a l
지지해	ʨ i ʣ i x ɛ
지지해줄	ʨ i ʣ i x e ʣ u l
지지했던	ʨ i ʣ i x ɛ t dd ʌ n
지진	ʨ i ʣ i n
지진과	ʨ i ʣ i n g wa
지진들은	ʨ i ʣ i n d ɯ r ɯ n
지진들이	ʨ i ʣ i n d ɯ r i
지진에	ʨ i ʣ i n e
지진으로	ʨ i ʣ i n ɯ r o
지진은	ʨ i ʣ i n ɯ n
지진을	ʨ i ʣ i n ɯ l
지진의	ʨ i ʣ i n e
지진이	ʨ i ʣ i n i
지진학자들은	ʨ i ʣ i n x a k ʨʨ a d ɯ r ɯ n
지질	ʨ i ʣ i l
지질이	ʨ i ʣ i r i
지질학적	ʨ i ʣ i r x a k ʨ ʌ k
지참	ʨ i ʨʰ a m
지창	ʨ i ʨʰ a ŋ
지천	ʨ i ʨʰ ʌ n
지청	ʨ i ʨʰ ʌ ŋ
지체	ʨ i ʨʰ e
지체가	ʨ i ʨʰ e g a
지체되고	ʨ i ʨʰ e d ø g o
지체들이	ʨ i ʨʰ e d ɯ r i
지체로	ʨ i ʨʰ e r o
지체로서	ʨ i ʨʰ e r o s ʌ
지체를	ʨ i ʨʰ e r ɯ l
지체없이	ʨ i ʨʰ e ʌ p ss i
지쳐	ʨ i ʨʰ jʌ
지쳐서	ʨ i ʨʰ jʌ s ʌ
지쳤다	ʨ i ʨʰ jʌ t dd a
지쳤어	ʨ i ʨʰ jʌ ss ʌ
지쳤어요	ʨ i ʨʰ jʌ ss ʌ jo
지쳤을	ʨ i ʨʰ jʌ ss ɯ l
지출	ʨ i ʨʰ u l
지출은	ʨ i ʨʰ u r ɯ n
지출을	ʨ i ʨʰ u r ɯ l
지출이	ʨ i ʨʰ u r i
지출한	ʨ i ʨʰ u r x a n
지층	ʨ i ʨʰ ɯ ŋ
지치	ʨ i ʨʰ i
지치게	ʨ i ʨʰ i g e
지치고	ʨ i ʨʰ i g o
지치는	ʨ i ʨʰ i n ɯ n
지치지	ʨ i ʨʰ i ʣ i
지친	ʨ i ʨʰ i n
지칠	ʨ i ʨʰ i l
지침	ʨ i ʨʰ i m
지침을	ʨ i ʨʰ i m ɯ l
지침이	ʨ i ʨʰ i m i
지칭	ʨ i ʨʰ i ŋ
지칭하는	ʨ i ʨʰ i ŋ x a n ɯ n
지켜	ʨ i kʰ jʌ
지켜낼	ʨ i kʰ jʌ n ɛ l
지켜도	ʨ i kʰ jʌ d o
지켜라	ʨ i kʰ jʌ r a
지켜보겠습니다	ʨ i k h jʌ b o g e t ss ɯ m n i d a
지켜보고	ʨ i kʰ jʌ b o g o
지켜보는	ʨ i kʰ jʌ b o n ɯ n
지켜보던	ʨ i k h jʌ b o d ʌ n
지켜보도록	ʨ i kʰ jʌ b o d o r o k
지켜보며	ʨ i kʰ jʌ b o m jʌ
지켜보면	ʨ i k h jʌ b o m jʌ n
지켜보면서	ʨ i k h jʌ b o m jʌ n s ʌ
지켜보세요	ʨ i kʰ jʌ b o s e jo
지켜보자	ʨ i kʰ jʌ b o ʣ a
지켜본	ʨ i kʰ jʌ b o n
지켜볼	ʨ i kʰ jʌ b o l
지켜봅시다	ʨ i k h jʌ b o p ss i d a
지켜봐	ʨ i kʰ jʌ b wa
지켜봐야	ʨ i kʰ jʌ b wa ja
지켜서	ʨ i k h jʌ s ʌ
지켜야	ʨ i kʰ jʌ ja
지켜야지	ʨ i kʰ jʌ ja ʣ i
지켜온	ʨ i kʰ jʌ o n
지켜요	ʨ i kʰ jʌ jo
지켜주고	ʨ i kʰ jʌ ʣ u g o
지켜주는	ʨ i kʰ jʌ ʣ u n ɯ n
지켜주세요	ʨ i k h jʌ ʣ u s e jo
지켜주시고	ʨ i kʰ jʌ ʣ u s i g o
지켜줄	ʨ i kʰ jʌ ʣ u l
지켜줘야	ʨ i kʰ jʌ ʣ wʌ ja
지켜지고	ʨ i kʰ jʌ ʣ i g o
지켜지는	ʨ i kʰ jʌ ʣ i n ɯ n
지켜지지	ʨ i kʰ jʌ ʣ i ʣ i
지켰다	ʨ i kʰ jʌ t dd a
지켰던	ʨ i kʰ jʌ t dd ʌ n
지켰습니다	ʨ i kʰ jʌ t ss ɯ m n i d a
지켰어요	ʨ i k h jʌ ss ʌ jo
지코	ʨ i kʰ o
지크	ʨ i kʰ ɯ
지키	ʨ i kʰ i
지키게	ʨ i kʰ i g e
지키겠다고	ʨ i kʰ i g e t dd a g o
지키겠습니다	ʨ i k h i g e t ss ɯ m n i d a
지키고	ʨ i kʰ i g o
지키고자	ʨ i kʰ i g o ʣ a
지키기	ʨ i kʰ i g i
지키는	ʨ i kʰ i n ɯ n
지키는게	ʨ i kʰ i n ɯ n g e
지키는데	ʨ i kʰ i n ɯ n d e
지키다	ʨ i kʰ i d a
지키던	ʨ i kʰ i d ʌ n
지키도록	ʨ i kʰ i d o r o k
지키라	ʨ i kʰ i r a
지키라고	ʨ i kʰ i r a g o
지키라는	ʨ i k h i r a n ɯ n
지키려고	ʨ i kʰ i r jʌ g o
지키려는	ʨ i kʰ i r jʌ n ɯ n
지키며	ʨ i k h i m jʌ
지키면	ʨ i kʰ i m jʌ n
지키면서	ʨ i kʰ i m jʌ n s ʌ
지키세요	ʨ i k h i s e jo
지키셔야	ʨ i k h i s jʌ ja
지키시고	ʨ i kʰ i s i g o
지키시는	ʨ i kʰ i s i n ɯ n
지키신	ʨ i k h i s i n
지키자	ʨ i kʰ i ʣ a
지키지	ʨ i kʰ i ʣ i
지킨	ʨ i kʰ i n
지킨다	ʨ i kʰ i n d a
지킨다고	ʨ i kʰ i n d a g o
지킨다는	ʨ i kʰ i n d a n ɯ n
지킬	ʨ i kʰ i l
지킴	ʨ i kʰ i m
지킴이	ʨ i kʰ i m i
지킵니다	ʨ i k h i m n i d a
지타	ʨ i tʰ a
지탄	ʨ i tʰ a n
지탄을	ʨ i tʰ a n ɯ l
지태	ʨ i tʰ ɛ
지탱	ʨ i tʰ ɛ ŋ
지탱하고	ʨ i tʰ e ŋ x a g o
지탱하는	ʨ i tʰ e ŋ x a n ɯ n
지트	ʨ i tʰ ɯ
지파	ʨ i pʰ a
지파가	ʨ i pʰ a g a
지파는	ʨ i pʰ a n ɯ n
지파를	ʨ i pʰ a r ɯ l
지파의	ʨ i pʰ a e
지판	ʨ i pʰ a n
지팡이	ʨ i pʰ a ŋ i
지팡이가	ʨ i pʰ a ŋ i g a
지팡이를	ʨ i pʰ a ŋ i r ɯ l
지팡이와	ʨ i pʰ a ŋ i wa
지퍼	ʨ i pʰ ʌ
지퍼가	ʨ i pʰ ʌ g a
지퍼를	ʨ i pʰ ʌ r ɯ l
지펴	ʨ i pʰ jʌ
지폐	ʨ i pʰ je
지포스	ʨ i pʰ o ss ɯ
지표	ʨ i pʰ jo
지표가	ʨ i pʰ jo g a
지표는	ʨ i pʰ jo n ɯ n
지표도	ʨ i pʰ jo d o
지표로	ʨ i pʰ jo r o
지표를	ʨ i pʰ jo r ɯ l
지푸라기	ʨ i pʰ u r a g i
지푸라기라도	ʨ i pʰ u r a g i r a d o
지프	ʨ i pʰ ɯ
지피고	ʨ i pʰ i g o
지필	ʨ i pʰ i l
지하	ʨ i x a
지하게	ʨ i x a g e
지하고	ʨ i x a g o
지하로	ʨ i x a r o
지하를	ʨ i x a r ɯ l
지하수	ʨ i x a s u
지하수를	ʨ i x a s u r ɯ l
지하실	ʨ i x a s i l
지하에	ʨ i x a e
지하에서	ʨ i x a e s ʌ
지하철	ʨ i x a ʨʰ ʌ l
지하철도	ʨ i x a ʨʰ ʌ l d o
지하철에	ʨ i x a ʨʰ ʌ r e
지하철에서	ʨ i x a ʨʰ ʌ r e s ʌ
지하철을	ʨ i x a ʨʰ ʌ r ɯ l
지하철이	ʨ i x a ʨʰ ʌ r i
지한테	ʨ i x a n tʰ e
지향	ʨ i x ja ŋ
지향을	ʨ i x ja ŋ ɯ l
지향적인	ʨ i x ja ŋ ʣ ʌ g i n
지향하고	ʨ i x ja ŋ x a g o
지향하는	ʨ i x ja ŋ x a n ɯ n
지혈제	ʨ i x jʌ l ʨʨ e
지형	ʨ i x jʌ ŋ
지형을	ʨ i x jʌ ŋ ɯ l
지형의	ʨ i x jʌ ŋ e
지형이	ʨ i x jʌ ŋ i
지혜	ʨ i x je
지혜가	ʨ i x e g a
지혜는	ʨ i x je n ɯ n
지혜도	ʨ i x je d o
지혜라고	ʨ i x je r a g o
지혜로	ʨ i x je r o
지혜로운	ʨ i x je r o u n
지혜롭게	ʨ i x je r o p gg e
지혜롭고	ʨ i x je r o p gg o
지혜를	ʨ i x je r ɯ l
지혜에	ʨ i x je e
지혜와	ʨ i x je wa
지혜의	ʨ i x je e
지호	ʨ i x o
지회	ʨ i x ø
지휘	ʨ i x wi
지휘를	ʨ i x wi r ɯ l
지휘하는	ʨ i x wi x a n ɯ n
직	ʨ i k
직각	ʨ i k gg a k
직각으로	ʨ i k gg a g ɯ r o
직각이	ʨ i k gg a g i
직감	ʨ i k gg a m
직감을	ʨ i k gg a m ɯ l
직감이	ʨ i k gg a m i
직거래	ʨ i k gg ʌ r ɛ
직결되는	ʨ i k gg jʌ l d ø n ɯ n
직경	ʨ i k gg jʌ ŋ
직계	ʨ i k gg je
직관	ʨ i k gg wa n
직관을	ʨ i k gg wa n ɯ l
직관적으로	ʨ i k gg wa n ʣ ʌ g ɯ r o
직관적인	ʨ i k gg wa n ʣ ʌ g i n
직구	ʨ i k gg u
직구로	ʨ i k gg u r o
직구를	ʨ i k gg u r ɯ l
직권	ʨ i k gg wʌ n
직권으로	ʨ i k gg wʌ n ɯ r o
직급	ʨ i k gg ɯ p
직급도	ʨ i k gg ɯ p dd o
직급이	ʨ i k gg ɯ b i
직까지	ʨ i k gg a ʣ i
직능	ʨ i ŋ n ɯ ŋ
직도	ʨ i k dd o
직독직해	ʨ i k dd o k ʨʨ i kʰ ɛ
직렬	ʨ i ŋ n jʌ l
직류	ʨ i ŋ n ju
직면	ʨ i ŋ m jʌ n
직면하게	ʨ i ŋ m jʌ n x a g e
직면하고	ʨ i ŋ m jʌ n x a g o
직면한	ʨ i ŋ m jʌ n x a n
직면해도	ʨ i ŋ m jʌ n x e d o
직면했을	ʨ i ŋ m jʌ n x e ss ɯ l
직무	ʨ i ŋ m u
직무가	ʨ i ŋ m u g a
직무기술서	ʨ i ŋ m u g i s u l s ʌ
직무로	ʨ i ŋ m u r o
직무를	ʨ i ŋ m u r ɯ l
직무상	ʨ i ŋ m u s a ŋ
직무에	ʨ i ŋ m u e
직무유기	ʨ i ŋ m u ju g i
직무유기죄	ʨ i ŋ m u ju g i ʨʨ ø
직물	ʨ i ŋ m u l
직방	ʨ i k bb a ŋ
직분	ʨ i k bb u n
직분에	ʨ i k bb u n e
직분을	ʨ i k bb u n ɯ l
직분이	ʨ i k bb u n i
직분자	ʨ i k bb u n ʣ a
직사각형	ʨ i k ss a g a kʰ jʌ ŋ
직사각형을	ʨ i k ss a g a kʰ jʌ ŋ ɯ l
직선	ʨ i k ss ʌ n
직선으로	ʨ i k ss ʌ n ɯ r o
직선을	ʨ i k ss ʌ n ɯ l
직선의	ʨ i k ss ʌ n i
직선이	ʨ i k ss ʌ n i
직설적	ʨ i k ss ʌ l ʣ ʌ k
직설적으로	ʨ i k ss ʌ l ʣ ʌ g ɯ r o
직성이	ʨ i k ss ʌ ŋ i
직업	ʨ i g ʌ p
직업과	ʨ i g ʌ p gg wa
직업도	ʨ i g ʌ p dd o
직업들이	ʨ i g ʌ p dd ɯ r i
직업에	ʨ i g ʌ b e
직업으로	ʨ i g ʌ b ɯ r o
직업은	ʨ i g ʌ b ɯ n
직업을	ʨ i g ʌ b ɯ l
직업의	ʨ i g ʌ b i
직업이	ʨ i g ʌ b i
직업이나	ʨ i g ʌ b i n a
직업이다	ʨ i g ʌ b i d a
직업적으로	ʨ i g ʌ p ʨʨ ʌ g ɯ r o
직업적인	ʨ i g ʌ p ʨʨ ʌ g i n
직역하면	ʨ i g jʌ kʰ a m jʌ n
직영	ʨ i g jʌ ŋ
직원	ʨ i g wʌ n
직원과	ʨ i g wʌ n g wa
직원도	ʨ i g wʌ n d o
직원들	ʨ i g wʌ n d ɯ l
직원들과	ʨ i g wʌ n d ɯ l g wa
직원들도	ʨ i g wʌ n d ɯ l d o
직원들에게	ʨ i g wʌ n d ɯ r e g e
직원들은	ʨ i g wʌ n d ɯ r ɯ n
직원들을	ʨ i g wʌ n d ɯ r ɯ l
직원들의	ʨ i g wʌ n d ɯ r e
직원들이	ʨ i g wʌ n d ɯ r i
직원들한테	ʨ i g wʌ n d ɯ l x a n tʰ e
직원에게	ʨ i g wʌ n e g e
직원으로	ʨ i g wʌ n ɯ r o
직원은	ʨ i g wʌ n ɯ n
직원을	ʨ i g wʌ n ɯ l
직원의	ʨ i g wʌ n e
직원이	ʨ i g wʌ n i
직위	ʨ i g wi
직은	ʨ i g ɯ n
직을	ʨ i g ɯ l
직임을	ʨ i g i m ɯ l
직자	ʨ i k ʨ a
직장	ʨ i k ʨʨ a ŋ
직장과	ʨ i k ʨ a ŋ g wa
직장도	ʨ i k ʨʨ a ŋ d o
직장생활	ʨ i k ʨʨ a ŋ s ɛ ŋ x wa l
직장생활을	ʨ i k ʨʨ a ŋ s ɛ ŋ x wa r ɯ l
직장에	ʨ i k ʨ a ŋ e
직장에서	ʨ i k ʨʨ a ŋ e s ʌ
직장에서도	ʨ i k ʨʨ a ŋ e s ʌ d o
직장으로	ʨ i k ʨ a ŋ ɯ r o
직장은	ʨ i k ʨʨ a ŋ ɯ n
직장을	ʨ i k ʨ a ŋ ɯ l
직장이	ʨ i k ʨʨ a ŋ i
직장이나	ʨ i k ʨʨ a ŋ i n a
직장인	ʨ i k ʨʨ a ŋ i n
직장인들은	ʨ i k ʨ a ŋ i n d ɯ r ɯ n
직장인들의	ʨ i k ʨ a ŋ i n d ɯ r i
직장인들이	ʨ i k ʨ a ŋ i n d ɯ r i
직장인이	ʨ i k ʨʨ a ŋ i n i
직적	ʨ i k ʨʨ ʌ k
직전	ʨ i k ʨʨ ʌ n
직전까지	ʨ i k ʨʨ ʌ n gg a ʣ i
직전에	ʨ i k ʨʨ ʌ n e
직전의	ʨ i k ʨʨ ʌ n e
직접	ʨ i k ʨʨ ʌ p
직접적	ʨ i k ʨʨ ʌ p ʨʨ ʌ k
직접적으로	ʨ i k ʨʨ ʌ p ʨʨ ʌ g ɯ r o
직접적이고	ʨ i k ʨ ʌ p ʨ ʌ g i g o
직접적인	ʨ i k ʨ ʌ p ʨ ʌ g i n
직제	ʨ i k ʨʨ e
직종	ʨ i k ʨʨ o ŋ
직지	ʨ i k ʨʨ i
직진	ʨ i k ʨʨ i n
직진을	ʨ i k ʨ i n ɯ l
직찍	ʨ i k ʨʨ i k
직책을	ʨ i k ʨʰ e g ɯ l
직하	ʨ i kʰ a
직하고	ʨ i kʰ a g o
직한	ʨ i kʰ a n
직함	ʨ i kʰ a m
직항	ʨ i kʰ a ŋ
직후	ʨ i kʰ u
직후에	ʨ i kʰ u e
진	ʨ i n
진가	ʨ i n gg a
진가를	ʨ i n g a r ɯ l
진갈색	ʨ i n g a l ss ɛ k
진갑용	ʨ i n g a b jo ŋ
진거	ʨ i n g ʌ
진것	ʨ i n g ʌ t
진격	ʨ i n g jʌ k
진격의	ʨ i n g jʌ g i
진격전	ʨ i n g jʌ k ʨʨ ʌ n
진격해	ʨ i n g jʌ kʰ ɛ
진경	ʨ i n g jʌ ŋ
진공	ʨ i n g o ŋ
진과	ʨ i n g wa
진구	ʨ i n g u
진귀한	ʨ i n g wi x a n
진급	ʨ i n g ɯ p
진급을	ʨ i n g ɯ b ɯ l
진급이	ʨ i n g ɯ b i
진기	ʨ i n g i
진나라	ʨ i n n a r a
진노	ʨ i n n o
진노가	ʨ i n n o g a
진노를	ʨ i n n o r ɯ l
진노와	ʨ i n n o wa
진노의	ʨ i n n o i
진다	ʨ i n d a
진다고	ʨ i n d a g o
진다는	ʨ i n d a n ɯ n
진다면	ʨ i n d a m jʌ n
진단	ʨ i n d a n
진단과	ʨ i n d a n g wa
진단기를	ʨ i n d a n g i r ɯ l
진단에	ʨ i n d a n e
진단은	ʨ i n d a n ɯ n
진단을	ʨ i n d a n ɯ l
진단이	ʨ i n d a n i
진단하고	ʨ i n d a n x a g o
진단하는	ʨ i n d a n x a n ɯ n
진단하여	ʨ i n d a n x a jʌ
진단할	ʨ i n d a n x a l
진단해	ʨ i n d a n x ɛ
진달래	ʨ i n d a l l ɛ
진데	ʨ i n d e
진도	ʨ i n d o
진도가	ʨ i n d o g a
진도개	ʨ i n d o gg ɛ
진도를	ʨ i n d o r ɯ l
진도의	ʨ i n d o e
진동	ʨ i n d o ŋ
진동수	ʨ i n d o ŋ ss u
진동을	ʨ i n d o ŋ ɯ l
진동의	ʨ i n d o ŋ e
진동이	ʨ i n d o ŋ i
진동자의	ʨ i n d o ŋ ʣ a i
진드기	ʨ i n d ɯ g i
진득하게	ʨ i n d ɯ kʰ a g e
진딧물	ʨ i n d i n m u l
진례	ʨ i l l je
진로	ʨ i l l o
진로가	ʨ i l l o g a
진로를	ʨ i l l o r ɯ l
진로상담	ʨ i l l o s a ŋ d a m
진로에	ʨ i l l o e
진료	ʨ i l l jo
진료기록	ʨ i l l jo g i r o k
진료를	ʨ i l l jo r ɯ l
진리	ʨ i l l i
진리가	ʨ i l l i g a
진리는	ʨ i l l i n ɯ n
진리다	ʨ i l l i d a
진리도	ʨ i l l i d o
진리라고	ʨ i l l i r a g o
진리라는	ʨ i l l i r a n ɯ n
진리로	ʨ i l l i r o
진리를	ʨ i l l i r ɯ l
진리야	ʨ i l l i ja
진리에	ʨ i l l i e
진리와	ʨ i l l i wa
진리요	ʨ i l l i jo
진리의	ʨ i l l i e
진리인	ʨ i l l i i n
진리인지	ʨ i l l i i n ʣ i
진리입니다	ʨ i l l i i m n i d a
진멸	ʨ i n m jʌ l
진보	ʨ i n b o
진보가	ʨ i n b o g a
진보를	ʨ i n b o r ɯ l
진보적인	ʨ i n b o ʣ ʌ g i n
진사	ʨ i n s a
진상	ʨ i n s a ŋ
진상규명	ʨ i n s a ŋ g ju m jʌ ŋ
진상을	ʨ i n s a ŋ ɯ l
진선미	ʨ i n s ʌ n m i
진성	ʨ i n s ʌ ŋ
진솔하게	ʨ i n s o r x a g e
진솔한	ʨ i n s o l x a n
진수	ʨ i n s u
진수는	ʨ i n s u n ɯ n
진수의	ʨ i n s u i
진술	ʨ i n s u l
진술서	ʨ i n s u l ss ʌ
진술을	ʨ i n s u r ɯ l
진술의	ʨ i n s u r i
진술이	ʨ i n s u r i
진술한	ʨ i n s u r x a n
진술했다	ʨ i n s u r x e t dd a
진실	ʨ i n s i l
진실과	ʨ i n s i l g wa
진실되게	ʨ i n s i l d ø g e
진실된	ʨ i n s i l d ø n
진실로	ʨ i n s i l l o
진실성이	ʨ i n s i l s ʌ ŋ i
진실에	ʨ i n s i r e
진실은	ʨ i n s i r ɯ n
진실을	ʨ i n s i r ɯ l
진실의	ʨ i n s i r e
진실이	ʨ i n s i r i
진실이고	ʨ i n s i r i g o
진실이라고	ʨ i n s i r i r a g o
진실이라는	ʨ i n s i r i r a n ɯ n
진실이에요	ʨ i n s i r i e jo
